tweets	label	preprocessed
"Trus nih buat yg nanya kenapa gak dibangun di papua aja? Karena provinsi yang berada di timur Indonesia itu belum memiliki infrastruktur dan fasilitas pengolahan lanjutan yang memadai.
#Freeport"	Non_R	trus nih buat yg nanya kenapa gak dibangun di papua aja karena provinsi yang berada di timur indonesia itu belum memiliki infrastruktur dan fasilitas pengolahan lanjutan yang memadai freeport
"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr"	Non_R	play let the fun begin like click did you see it 
"Papua adalah bagian dari NKRI
#DukungOtsusPapuaMaju"	Non_R	papua adalah bagian dari nkri dukungotsuspapuamaju
"Akar konflik harus dibicarakan.
Dan dicari titik temu, sampai selesai.
Sy yakin bisa. Sy pernah ke papua, sambutan dgn nyanyian rohani, menyejukkan. Sy yakin Tuhan Yesus Kristus ada dipapua. 

Semoga hal2 buruk dr pihak manapun tdk terjadi lagi. TYM Papua."	Non_R	akar konflik harus dibicarakan dan dicari titik temu sampai selesai sy yakin bisa sy pernah ke papua sambutan dgn nyanyian rohani menyejukkan sy yakin tuhan yesus kristus ada dipapua semoga hal2 buruk dr pihak manapun tdk terjadi lagi tym papua 
"""Saya minta kita semua jadi orang Papua. Artinya kita kulit hitam, kulit putih, rambut keriting, rambut lurus, mata sipit, mata menyala, kita semua Indonesia, betul to?"" 
°°Edo Kondologit°°

#DukungOtsusPapuaMaju pic.twitter.com/OrMKsC8BVw"	Non_R	 saya minta kita semua jadi orang papua artinya kita kulit hitam kulit putih rambut keriting rambut lurus mata sipit mata menyala kita semua indonesia betul to edo kondologit dukungotsuspapuamaju 
kasiankah ujung2nya semua mrk jdi kurir politik ats nama bela nduga..bukan keseluruhan papua.	Non_R	kasiankah ujung2nya semua mrk jdi kurir politik ats nama bela nduga bukan keseluruhan papua 
SSB United Sentani Juara I Sepak Bola Pangdam CUP https://kabarpapua.co/ssb-united-sentani-juara-i-sepak-bola-pangdam-cup/ …	Non_R	ssb united sentani juara i sepak bola pangdam cup 
Dan ketika VK berhasil menyerahkan papua pada majikan cina-nya, ketika imigran cina mengalir deras, penjarahan sejati sebagaimana yg cuma org cina bisa lakukan terjadi, ketika genosida beneran oleh cina pada oap terjadi, saat itu oap akan menyesal mereka pernah mengenal VK...	R	dan ketika vk berhasil menyerahkan papua pada majikan cina nya ketika imigran cina mengalir deras penjarahan sejati sebagaimana yg cuma org cina bisa lakukan terjadi ketika genosida beneran oleh cina pada oap terjadi saat itu oap akan menyesal mereka pernah mengenal vk 
ni ada diskriminasi terhadap orang Papua terkait penegakan hukum. kita tunggu saja. sebelum saya lapor Propam	Non_R	ni ada diskriminasi terhadap orang papua terkait penegakan hukum kita tunggu saja sebelum saya lapor propam
Vidio bokep papua	Non_R	vidio bokep papua
Papua juga bagian dari Indonesia lho.  https://twitter.com/embun____/status/1294259735084937218 …	Non_R	papua juga bagian dari indonesia lho 
"ㅤ
ㅤ
See you next time again, pulau Raja Ampat.

Terima kasih atas keindahan-mu.

ㅤㅤㅤㅤ📍 Sentani Airport, Jayapura, Papua.
ㅤ
ㅤ  pic.twitter.com/fCsIEfaS2x"	Non_R	 see you next time again pulau raja ampat terima kasih atas keindahan mu sentani airport jayapura papua 
kalau sudah dibayar, ya bagus. kalau belum, segeralah bayar. daripada persoalan meluas dan ada yang harus masuk proses. mohon perhatian Disorda Provinsi Papua	Non_R	kalau sudah dibayar ya bagus kalau belum segeralah bayar daripada persoalan meluas dan ada yang harus masuk proses mohon perhatian disorda provinsi papua
Nggak usah sombong... Jaminannya rakyat Indonesia akan membelamu kalo kamu benar.. kalau menjual Papua hanya utk popularitas dan membuat rakyat Papua menderita mending kamu pulang dan mempertanggungjawabkan perbuatanmu.	Non_R	nggak usah sombong jaminannya rakyat indonesia akan membelamu kalo kamu benar kalau menjual papua hanya utk popularitas dan membuat rakyat papua menderita mending kamu pulang dan mempertanggungjawabkan perbuatanmu 
HAHAHAH BANGSATTT apa gw ikutan ke papua sama lu aja ya	Non_R	hahahah bangsattt apa gw ikutan ke papua sama lu aja ya
Selamat Jalan Sahabat Tercinta Kami Pahlawan Demokrasi Di Tanah Papua,Akan kami teruskan Perjuanganmu Untuk Tegaknya Demokrasi Yang Bersih Jujur dan Adil Di Tanah Papua Tercinta @ Kabupaten Waropen Papua  https://www.instagram.com/p/CD3z1ODsj25/?igshid=mxeucgvq9yqv …	Non_R	selamat jalan sahabat tercinta kami pahlawan demokrasi di tanah papua akan kami teruskan perjuanganmu untuk tegaknya demokrasi yang bersih jujur dan adil di tanah papua tercinta kabupaten waropen papua 
Loh Papua kan bagian dari Indonesia??  pic.twitter.com/PkLuofFEIn	Non_R	loh papua kan bagian dari indonesia 
Pemuda Papua Dukung Otsus jilid II  pic.twitter.com/ddyTrKFSfg	Non_R	pemuda papua dukung otsus jilid ii 
"Dukung Otsus Papua untuk meningkatkan kesejahteraan dan kemajuan Papua. 
#DukungOtsusPapuaMaju"	Non_R	dukung otsus papua untuk meningkatkan kesejahteraan dan kemajuan papua dukungotsuspapuamaju
Dana otsus papua perlu evaluasi dan audit karena dana otsus belum dimaksimalkan pemerintah daerah untuk meningkatkan ekonomi papua.  pic.twitter.com/R0yu2wzqSl	Non_R	dana otsus papua perlu evaluasi dan audit karena dana otsus belum dimaksimalkan pemerintah daerah untuk meningkatkan ekonomi papua 
5 Wilayah Ini Memiliki Kasus COVID-19 Tertinggi di Papua -  http://Liputan6.com  http://dlvr.it/Rdf5jk 	Non_R	5 wilayah ini memiliki kasus covid 19 tertinggi di papua 
"Semua sobat Papua di Jakarta,wajib hadiri di medan juang biar semua paham:""JALAN ANEKSASI LEGAL INDONESIA ATAS WEST PAPUA"" sesuai NEW YORK AGREEMENT 1962 ( https://twitter.com/ProfYLH/status/1203928320204652544?s=19 …) & telah didukung PBB/@UN menolak ""REFERENDUN PAPUA"" jadi saatnya semua akui:""PAPUA NKRI SELAMANYA"".  https://twitter.com/RicoTude/status/1293978001940480001 … pic.twitter.com/baW7bvv4qe"	Non_R	semua sobat papua di jakarta wajib hadiri di medan juang biar semua paham jalan aneksasi legal indonesia atas west papua sesuai new york agreement 1962 
"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr"	Non_R	play let the fun begin like click did you see it 
"Apa kabar Papua?
Ini salah satu destinasi impian saya. Semoga setelah pandemi ada rezeki ke sana aamiin.
Baca #blogpost mbak @dee_arif ini jadi makin kepengen deh menjelajahi Papua :D

#JumatBerkah https://www.deestories.com/2020/08/wonderful-papua-mengecap-surga-di-bumi-cendrawasih.html …"	Non_R	apa kabar papua ini salah satu destinasi impian saya semoga setelah pandemi ada rezeki ke sana aamiin baca blogpost mbak ini jadi makin kepengen deh menjelajahi papua d jumatberkah 
[LIVE] Dahsyatnya Padang Mahsyar – Ustadz Dr. Firanda Andirja, M.A. #UstadzFirandaAndirja #ngaji #AlQuran #Sunnah https://www.salafy.org/live-dahsyatnya-padang-mahsyar-ustadz-dr-firanda-andirja-m-a/ …	Non_R	 live dahsyatnya padang mahsyar ustadz dr firanda andirja m a ustadzfirandaandirja ngaji alquran sunnah 
masyarakat papua sangat membutuhkan dana otsus papua karena masyarakat pedalaman papua agar dpt merasakan trs manfaatnya dan otsus papua harus diawasi selalu agar merata! #DukungOtsusPapuaMaju	Non_R	masyarakat papua sangat membutuhkan dana otsus papua karena masyarakat pedalaman papua agar dpt merasakan trs manfaatnya dan otsus papua harus diawasi selalu agar merata dukungotsuspapuamaju
"Hasil Pengeluaran TAIWAN
JUMAT, 14 AGUSTUS 2020
Result : 7409
Shio : NAGA
Selamat Para Pemenang JP
#jayagaming #casinotogel #jayatogel #jayapoker #idnplay #idnlive #hkbgaming #togelonline #papua #togeljitu #dewatogel #bandarcasino #sbobet pic.twitter.com/F4I0v6yrg0"	Non_R	hasil pengeluaran taiwan jumat 14 agustus 2020 result 7409 shio naga selamat para pemenang jp jayagaming casinotogel jayatogel jayapoker idnplay idnlive hkbgaming togelonline papua togeljitu dewatogel bandarcasino sbobet 
"#DukungOtsusPapuaMaju 
krn dana otsus berguna utk pelaksanaan pemb Papua mliputi program² prioritas di bidang pendidikn, kesehatan, pemberdayaan ekonomi masy jg infrastruktur. yg mna hal itu kn meningkatkn kemajuan jg kesejahteraan masy. membntu pem jg dlm hal pemasukn"	Non_R	 dukungotsuspapuamaju krn dana otsus berguna utk pelaksanaan pemb papua mliputi program prioritas di bidang pendidikn kesehatan pemberdayaan ekonomi masy jg infrastruktur yg mna hal itu kn meningkatkn kemajuan jg kesejahteraan masy membntu pem jg dlm hal pemasukn
SSB PAPUA UNITED RESMI MENJADI JUARA PANGDAM CUP 2020  https://tabloidnusantara.com/ssb-papua-united-resmi-menjadi-juara-pangdam-cup-2020/11903/ … lewat @@tabloid_nusa #SEPARrespira #Bola	Non_R	ssb papua united resmi menjadi juara pangdam cup 2020 
"Papua NKRI selamanya
Tolak gerakan separatism yang merusak Bumi Cenderawasih 
#DukungOtsusPapuaMaju
@byutifvl
@Jaylani_Aray"	Non_R	papua nkri selamanya tolak gerakan separatism yang merusak bumi cenderawasih dukungotsuspapuamaju 
Amnesty Indonesia dan Australia Desak Pemerintah Indonesia Batalkan Sanksi Finansial Kepada Vero Koman http://disq.us/t/3r18ipd 	Non_R	amnesty indonesia dan australia desak pemerintah indonesia batalkan sanksi finansial kepada vero koman 
"Papua bagian dari NKRI,  Tidak ada penjajahan,  tapi pembangunan infrastruktur dan SDM yg selalu dipersulit para separaties bersenjata. 
@VeronicaKoman  apa yg kau cari, 
Seperti yg didapatkan Judas..."	Non_R	papua bagian dari nkri tidak ada penjajahan tapi pembangunan infrastruktur dan sdm yg selalu dipersulit para separaties bersenjata apa yg kau cari seperti yg didapatkan judas 
"Dukung Otsus Papua untuk meningkatkan kesejahteraan dan percepatan pembangunan Papua. 
#DukungOtsusPapuaMaju"	Non_R	dukung otsus papua untuk meningkatkan kesejahteraan dan percepatan pembangunan papua dukungotsuspapuamaju
Papua Lima ratus lebih peserta SBMPTN didiskualifikasi, ini salah satu penyebabnya  http://dlvr.it/Rdf5Jr  pic.twitter.com/UmE65w3lLi	Non_R	papua lima ratus lebih peserta sbmptn didiskualifikasi ini salah satu penyebabnya 
"Mantap papua !
#DukungOtsusPapuaMaju"	Non_R	mantap papua dukungotsuspapuamaju
"Fasilitas, tunjangan serta
keuntungan yg dinikmati
petinggi freeport 1 juta
kali lipat pendapatan tahunan
wrga Timika, Papua #UsirFreeport"	Non_R	fasilitas tunjangan serta keuntungan yg dinikmati petinggi freepo1 juta kali lipat pendapatan tahunan wrga timika papua usirfreeport
Pemprov Papua, tolong cairkan uang dari KONI untuk anak anak Papua yang jadi atlet pencak silat. sebelum saya menyampaikan somasi. oke?	Non_R	pemprov papua tolong cairkan uang dari koni untuk anak anak papua yang jadi atlet pencak silat sebelum saya menyampaikan somasi oke 
"Suka atau tidak suka, ya memang kita belum bs bersikap adil thdp Papua

Terlepas dari kontroversiny, VK bersuara keras mengenai ketidak adilan disana

Face it"	Non_R	suka atau tidak suka ya memang kita belum bs bersikap adil thdp papua terlepas dari kontroversiny vk bersuara keras mengenai ketidak adilan disana face it
Pokja Perempuan MRP Gelar Hearing Dampak Covid Pada Perekonomian Mama-Mama Papua  http://disq.us/t/3r194zv 	Non_R	pokja perempuan mrp gelar hearing dampak covid pada perekonomian mama mama papua 
Veronica Koman: Saya Siap Dibuang NKRI, Berikan ke Papua  https://www.pantausatu.id/2020/08/veronica-koman-saya-siap-dibuang-nkri.html?m=1 …	Non_R	veronica koman saya siap dibuang nkri berikan ke papua 
PLN Raih Sertifikasi Anti Penyuapan https://kabarpapua.co/pln-raih-sertifikasi-anti-penyuapan/ …	Non_R	pln raih sertifikasi anti penyuapan 
Jual Masker Wajah Alami di Papua, WA: 082134685661 (Anwar) #MaskerWajahPapua pic.twitter.com/FpwuQ2Dzvb	Non_R	jual masker wajah alami di papua wa 082134685661 anwar maskerwajahpapua 
"guys percaya ga aku dom papua
👁👄👁"	Non_R	guys percaya ga aku dom papua 
"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr"	Non_R	play let the fun begin like click did you see it 
#DukungOtsusPapuaMaju agar Papua bisa setara dgn daerah lainnya	Non_R	 dukungotsuspapuamaju agar papua bisa setara dgn daerah lainnya
Otsus papua harus tetap dijalankan, dana otsus harus sampai masyarakat paling bawah bukan untuk para pejabat.  pic.twitter.com/39dZQFGKAw	Non_R	otsus papua harus tetap dijalankan dana otsus harus sampai masyarakat paling bawah bukan untuk para pejabat 
"#DukungOtsusPapuaMaju

Penjarakan SJW prnjual tanah Papua."	Non_R	 dukungotsuspapuamaju penjarakan sjw prnjual tanah papua 
"Papua selamanya NKRI
#DukungOtsusPapuaMaju"	Non_R	papua selamanya nkri dukungotsuspapuamaju
banyak alasan muter2... gak mau ngakuin kalo dia emang udah ngelakuin banyak kesalahan.. akuin aja lebih gentleman, emang dia bersebrangan  dan pengen papua merdeka, biar jadi menteri HAM kali ntar hahaha🤣🤣	Non_R	banyak alasan muter2 gak mau ngakuin kalo dia emang udah ngelakuin banyak kesalahan akuin aja lebih gentleman emang dia bersebrangan dan pengen papua merdeka biar jadi menteri ham kali ntar hahaha 
Pendaftaran Wartawan Peliput PON Papua Diperpanjang  http://tvpapua.com/2020/08/14/pendaftaran-wartawan-peliput-pon-papua-diperpanjang/ …	Non_R	pendaftaran wartawan peliput pon papua diperpanjang 
"Ditulisan ini sy baca, pegawai kab seolah malas turun kekampung2. 
Pecat saja, ganti dgn warga asli papua yg jelas2 menderita & ingin perbaikan. 
Dgn kekhususan papua sangat mungkin memecat pegawai yg malas. Abis uang utk menggaji pegawai yg malas. 

 https://twitter.com/VeronicaKoman/status/961529423634690049?s=19 …"	Non_R	ditulisan ini sy baca pegawai kab seolah malas turun kekampung2 pecat saja ganti dgn warga asli papua yg jelas2 menderita ingin perbaikan dgn kekhususan papua sangat mungkin memecat pegawai yg malas abis uang utk menggaji pegawai yg malas 
Dana otsus yg digelontorkan untuk papua itu sangat besar oleh karena itu sangat wajar jika otsus papua itu perlu evaluasi, jangan sampai dana otsus ini hanya jadi bancakan pejabat setempat dan masyarakat tidak bisa merasakan manfaat otsus ini.  pic.twitter.com/WR8sdWZEgV	Non_R	dana otsus yg digelontorkan untuk papua itu sangat besar oleh karena itu sangat wajar jika otsus papua itu perlu evaluasi jangan sampai dana otsus ini hanya jadi bancakan pejabat setempat dan masyarakat tidak bisa merasakan manfaat otsus ini 
"Papua adalah kita 🇮🇩
#DukungOtsusPapuaMaju"	Non_R	papua adalah kita dukungotsuspapuamaju
"sqbenar nya kalo dari pandangan luas memang sudah selayak nya papua merdeka ... tdk ada lagi yg mengatakan "" MONYET "" biarkan mereka menjadi bangsa yg tangguh di tanah mereka !!! 

sama kaya kalimantan ulun ni sering di sambat urang hutan .. apa kalimantan cuman hutan aja"	Non_R	sqbenar nya kalo dari pandangan luas memang sudah selayak nya papua merdeka tdk ada lagi yg mengatakan monyet biarkan mereka menjadi bangsa yg tangguh di tanah mereka sama kaya kalimantan ulun ni sering di sambat urang hutan apa kalimantan cuman hutan aja
"Papua adalah kita
#DukungOtsusPapuaMaju"	Non_R	papua adalah kita dukungotsuspapuamaju
